id,email,data,valor,quantidade,produto
97,wagnerbarroos@gmail.com,2024-09-11 09:00:00,2500.0,1,ZapFlow com chatGPT
98,zapflow_aula@gmail.com,2024-09-10 09:00:00,100.0,50,ZapFlow com Gemini
99,BestVendedor@gmail.com,2024-09-11 09:00:00,1000000.0,1,ZapFlow com Llama3.0
100,BestVendedor@gmail.com,2024-09-11 09:00:00,1000000.0,1,ZapFlow com Llama3.0
101,welinfssaovivo@gmail.com,2024-09-20 15:15:00,15000.0,15,ZapFlow com Gemini
102,estagiario@esperto.com.br,2024-09-11 09:00:00,1000.0,10,ZapFlow com Llama3.0
103,mila@gmail.com,2024-09-10 11:30:00,2500.0,7,ZapFlow com chatGPT
104,samuel@gmail.com,2024-09-02 11:30:00,10000.09,10,ZapFlow com chatGPT
105,samuel@gmail.com,2024-09-02 11:30:00,10000.09,10,ZapFlow com chatGPT
106,luisflavo@hotmail.com,2024-09-10 09:15:00,3000.0,1,ZapFlow com Gemini
107,leandr0s@gmail.com,2024-09-11 09:00:00,4000.0,2,ZapFlow com Gemini
108,everton@gmail.com,2024-09-11 12:00:00,10000.0,9,ZapFlow com Llama3.0
109,everton@gmail.com,2024-09-11 12:00:00,10000.0,9,ZapFlow com Llama3.0
110,everton@gmail.com,2024-09-11 12:00:00,10000.0,9,ZapFlow com Llama3.0
111,juniorpsilva@msn.com,2024-09-09 09:00:00,580.0,1,ZapFlow com chatGPT
112,romulo@gmail.com,2024-08-22 12:45:00,2500.0,3,ZapFlow com Llama3.0
113,juniorpsilva@msn.com,2024-09-09 09:00:00,580.0,1,ZapFlow com chatGPT
114,magnonabisco60testelive@hotmail.com,2024-10-09 09:15:00,3000.0,15,ZapFlow com Gemini
115,caique@gmail.com,2024-09-11 22:00:00,2500.0,5,ZapFlow com Gemini
116,mcamurca@gmail.com,2024-09-11 09:00:00,750000.0,2,ZapFlow com Gemini
117,mcamurca@gmail.com,2024-09-11 09:00:00,750000.0,2,ZapFlow com Gemini
118,Cachorao@gmail.com,2024-09-11 09:00:00,171.0,7,ZapFlow com Gemini
119,estagiario2@gmail.com,2024-09-11 13:15:00,123.0,23,ZapFlow com chatGPT
120,estagiario2@gmail.com,2024-09-11 13:15:00,123.0,23,ZapFlow com chatGPT
121,diogao@hotmail.com,2024-09-10 13:00:00,8000.0,9,ZapFlow com Gemini
122,loucuralouca@gmail.com,2027-09-03 23:45:00,100000000000000.0,1123123123,ZapFlow com chatGPT
123,robertnilson@gmail.com,2024-09-11 09:00:00,5000.0,10,ZapFlow com Gemini
124,akamasmm@gmail.com,2024-09-11 09:15:00,4.0,8,ZapFlow com Gemini
125,akamasmm@gmail.com,2024-09-11 09:15:00,4.0,8,ZapFlow com Gemini
126,akamasmm@gmail.com,2024-09-10 09:15:00,4.0,8,ZapFlow com Gemini
127,jobssolutions@gmail.com,2024-09-10 11:00:00,1000.0,30,ZapFlow com chatGPT
128,jobssolutions@gmail.com,2024-09-10 11:00:00,1000.0,30,ZapFlow com chatGPT
129,laender.tevenceu@gmail.com,2024-09-10 09:00:00,10000.0,1,ZapFlow com Gemini
130,laender.tevenceu@gmail.com,2024-09-10 09:00:00,10000.0,10,ZapFlow com Gemini
131,laender.tevenceu@gmail.com,2024-09-10 09:00:00,10000.0,10,ZapFlow com Llama3.0
132,ElonMusk@x.com,2024-09-11 09:00:00,0.01,1000000000,ZapFlow com chatGPT
133,ElonMusk@x.com,2024-09-11 09:00:00,0.01,100,ZapFlow com chatGPT
134,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
135,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
136,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
137,estagiario@gmail.com.br,2024-09-11 10:00:00,0.0066,1,ZapFlow com Gemini
138,washington@gmail.com,2024-09-10 09:15:00,3000.0,15,ZapFlow com chatGPT
139,Herbert@gmail.com,2024-09-18 09:00:00,5000.0,5,ZapFlow com chatGPT
140,washington@gmail.com,2024-09-10 09:15:00,3000.0,15,ZapFlow com chatGPT
141,washington@gmail.com,2024-09-10 09:15:00,3000.0,15,ZapFlow com chatGPT
142,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
143,estagiario@gmail.com.br,2024-09-11 10:00:00,0.0066,1,ZapFlow com Gemini
144,washington@gmail.com,2024-09-10 09:15:00,3000.0,15,ZapFlow com chatGPT
145,rodrigo@yahoo.com,2024-09-14 09:15:00,1500.0,2,ZapFlow com Gemini
146,estagiario@gmail.com.br,2024-09-11 10:00:00,0.0066,1,ZapFlow com Gemini
147,washington@gmail.com,2024-09-10 09:15:00,3000.0,15,ZapFlow com chatGPT
148,rodrigo@yahoo.com,2024-09-14 09:15:00,1500.0,2,ZapFlow com Gemini
149,teste@gmail.com,2024-08-19 10:30:00,100.0,1000,ZapFlow com Llama3.0
150,washington@gmail.com,2024-09-10 09:15:00,3000.0,15,ZapFlow com chatGPT
151,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
152,estagiario@gmail.com.br,2024-09-11 10:00:00,0.0066,1,ZapFlow com Gemini
153,generico@generico.com.br,2024-09-08 10:45:00,100.0,55,ZapFlow com Gemini
154,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
155,Herbert@gmail.com,2024-09-18 09:00:00,5000.0,5,ZapFlow com chatGPT
156,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
157,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
158,12345@gmail.com,2024-09-24 12:45:00,19500.0,99,ZapFlow com Gemini
159,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
160,12345@123gmail.com,2024-09-24 12:45:00,19500.0,99,ZapFlow com Gemini
161,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
162,12345@123gmail.com,2024-09-24 12:45:00,19500.0,99,ZapFlow com Gemini
163,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
164,rafadmn1@gmail.com,2024-09-10 22:00:00,500.0,1,ZapFlow com Gemini
165,alima67@hotmail.com,2024-09-11 09:00:00,50000.0,79,ZapFlow com chatGPT
166,maria@gmail.com,2024-08-08 08:45:00,34.0,23,ZapFlow com Gemini
167,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
168,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
169,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
170,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
171,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
172,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
173,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
174,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
175,ze@email.net,2024-09-10 09:00:00,2000.0,100,ZapFlow com Llama3.0
176,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
177,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
178,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
179,estagiario_careca@gmail.com,2024-09-11 09:00:00,1e+30,5,ZapFlow com chatGPT
180,ze@email.net,2024-09-10 09:00:00,2000.0,100,ZapFlow com Llama3.0
181,pedro@hotmail.com,2024-07-09 07:32:00,4000.0,5,ZapFlow com Llama3.0
182,valmirjunior@gmail.com,2024-09-12 09:00:00,50000.0,2,ZapFlow com Gemini
183,pedro@hotmail.com,2024-07-09 07:32:00,4000.0,5,ZapFlow com Llama3.0
184,pedro@hotmail.com,2024-07-09 07:32:00,4000.0,5,ZapFlow com Llama3.0
185,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
186,zappone@gmail.com,2024-09-10 14:00:00,3000.0,12,ZapFlow com Llama3.0
187,dev@dev.com,2024-09-11 08:45:00,500.0,1,ZapFlow com chatGPT
188,jogodobrasil@teste.com,2024-09-11 09:00:00,1.0,1,ZapFlow com Gemini
189,zappone@gmail.com,2024-09-10 14:00:00,3000.0,12,ZapFlow com Llama3.0
190,Roberto@gmail.com,2024-09-11 09:00:00,2500.0,1,ZapFlow com chatGPT
191,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
192,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
193,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
194,zapflow_aula@gmail.com,2024-09-10 09:00:00,100.0,50,ZapFlow com Gemini
195,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
196,genericocarol@gmail.com,2024-09-11 09:00:00,5000.0,20,ZapFlow com chatGPT
197,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
198,bestvendedor@gmail.com,2024-09-10 09:15:00,1000000.0,1,ZapFlow com Llama3.0
199,genericocarol@gmail.com,2024-09-11 09:00:00,5000.0,20,ZapFlow com chatGPT
200,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
201,powerbielson@gmail.com,2024-09-18 10:30:00,150000.0,5,ZapFlow com Llama3.0
202,xpto@asd.com,2024-09-11 09:00:00,0.8800000000000006,1,ZapFlow com Llama3.0
203,bestvendedor@gmail.com,2024-09-10 09:15:00,1000000.01,2,ZapFlow com Llama3.0
204,bestvendedor@gmail.com,2024-09-10 09:15:00,1000000.0,1,ZapFlow com Gemini
205,maria13@gmail.com,2024-09-03 09:15:00,2500.0,1,ZapFlow com chatGPT
206,carvalhofdiego@outlook.com,2024-08-06 16:30:00,10000.0,85,ZapFlow com chatGPT
207,samuel@gmail.com,2024-09-02 11:30:00,10000.09,10,ZapFlow com chatGPT
208,samuel@gmail.com,2024-09-02 11:30:00,10000.09,10,ZapFlow com chatGPT
209,mila@gmail.com,2024-09-10 11:30:00,2500.0,4,ZapFlow com Llama3.0
210,1234@gmail.com,2024-09-11 09:00:00,1000.0,1,ZapFlow com chatGPT
211,bruno.catoaba@gmail.com,2024-09-25 09:00:00,2000.0,1,ZapFlow com Llama3.0
212,wagnerbarroos@gmail.com,2024-09-11 09:00:00,3500.0,1,ZapFlow com chatGPT
213,wagnerbarroos@gmail.com,2024-09-11 09:00:00,45000.0,1,ZapFlow com chatGPT
214,juniorpsilva@msn.com,2024-09-09 09:00:00,580.0,1,ZapFlow com chatGPT
215,stag@stag.com,2024-09-01 09:00:00,5656.56,10,ZapFlow com Gemini
216,fabio@dashx.com.br,2024-09-11 08:45:00,4500.0,100,ZapFlow com chatGPT
217,fabio@dashx.com.br,2024-09-11 08:45:00,4500.0,100,ZapFlow com chatGPT
218,mcamurca@gmail.com,2024-09-11 09:00:00,750000.0,2,ZapFlow com Gemini
219,leandr0s@gmail.com,2024-09-11 09:00:00,4000.0,2,ZapFlow com Gemini
220,Cachorao@gmail.com,2024-09-11 09:00:00,171.0,7,ZapFlow com Gemini
221,Cachorao@gmail.com,2024-09-11 09:00:00,171.0,7,ZapFlow com Gemini
222,everton@gmail.com,2024-09-11 12:00:00,10000.0,9,ZapFlow com Llama3.0
223,akamasmm@gmail.com,2024-09-10 09:15:00,4.0,8,ZapFlow com Gemini
224,akamasmm@gmail.com,2024-09-10 09:15:00,4.0,8,ZapFlow com Gemini
225,Cachorao@gmail.com,2024-09-11 09:00:00,171.0,7,ZapFlow com Gemini
226,mateus@gmail.com,2024-09-11 09:00:00,50000.0,2,ZapFlow com Gemini
227,mateus@gmail.com,2024-09-11 09:00:00,50000.0,2,ZapFlow com Gemini
228,nosboj@gmail.com,2024-09-10 10:45:00,1000.0,50,ZapFlow com Llama3.0
229,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
230,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
231,marcio@marcio.com,2024-09-11 12:45:00,4499.99,15,ZapFlow com Gemini
232,marcio@marcio.com,2024-09-11 12:45:00,4499.99,15,ZapFlow com Gemini
233,edilsonnatalino@gmail.com,2024-09-11 09:15:00,2000.0,5,ZapFlow com chatGPT
234,12345@gmail.com,2024-09-24 12:45:00,19500.0,99,ZapFlow com Gemini
235,marcio@marcio.com,2024-09-11 12:45:00,4500.0,15,ZapFlow com Gemini
236,marcio@marcio.com,2024-09-11 12:45:00,4499.99,15,ZapFlow com Gemini
237,marcio@marcio.com,2024-09-11 12:45:00,4499.99,15,ZapFlow com Gemini
238,marcio@marcio.com,2024-09-11 12:45:00,4499.99,15,ZapFlow com Gemini
239,Herbert@gmail.com,2024-09-18 09:00:00,5000.0,5,ZapFlow com chatGPT
240,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
241,marcio@marcio.com,2024-09-11 12:45:00,4499.99,15,ZapFlow com Gemini
242,robertnilson@gmail.com,2024-09-11 09:00:00,5000.0,10,ZapFlow com Gemini
243,jogodobrasil@palmeirasmundial.com,2024-09-11 09:00:00,1.0,1,ZapFlow com Gemini
244,jogodobrasil@gmail.com,2024-09-11 09:00:00,1.0,1,ZapFlow com Gemini
245,carvalhofdiego@outlook.com,2024-08-06 16:30:00,10000.0,85,ZapFlow com chatGPT
246,xpto@asd.com,2024-09-11 09:00:00,1.88,1,ZapFlow com Llama3.0
247,elonmusk@x.com,2024-09-11 09:00:00,0.01,100,ZapFlow com chatGPT
248,mila@gmail.com,2024-09-11 13:00:00,3000.0,10,ZapFlow com Gemini
249,Cachorao@gmail.com,2024-09-11 09:00:00,171.0,7,ZapFlow com Gemini
250,Cachorao@gmail.com,2024-09-11 09:00:00,171.0,7,ZapFlow com Gemini
251,Cachorao@gmail.com,2024-09-11 09:00:00,171.0,7,ZapFlow com Gemini
252,durva_Sa@gmail.com,2024-09-11 11:00:00,150.0,2,ZapFlow com chatGPT
253,valmirjunior@gmail.com,2024-09-12 09:00:00,50000.0,2,ZapFlow com chatGPT
254,junior@gmail.com,2024-09-11 22:00:00,200.0085,2,ZapFlow com chatGPT
255,beto@gmail.com,2024-09-04 20:45:00,5000.0,2,ZapFlow com Llama3.0
256,didica134@gmail.com,2024-09-10 09:00:00,100.0,50,ZapFlow com Gemini
257,testeteste@gmail.com.br,2024-09-11 09:00:00,250.0,1,ZapFlow com Gemini
258,marcio@marcio.com,2024-09-09 12:45:00,4499.99,15,ZapFlow com Gemini
259,bestvendedor@gmail.com,2024-09-10 09:15:00,1000000.01,2,ZapFlow com Llama3.0
260,leandr0s@gmail.com,2024-09-11 09:00:00,4000.0,2,ZapFlow com Gemini
261,genericocarol@gmail.com,2024-09-11 09:00:00,5000.0,20,ZapFlow com chatGPT
262,tested@gmail.com,2024-09-13 12:00:00,9.87456321300326e+20,8562632,ZapFlow com chatGPT
263,Herbert@gmail.com,2024-09-30 09:15:00,5000.0,5,ZapFlow com chatGPT
264,zedascouves@gmail.com,2024-09-11 22:15:00,24100.0,153,ZapFlow com Gemini
265,Roberto@gmail.com,2024-09-11 09:00:00,2500.0,1,ZapFlow com chatGPT
266,maria13@gmail.com,2024-09-03 09:15:00,2500.0,1,ZapFlow com chatGPT
267,zappone@gmail.com,2024-09-10 14:00:00,3000000000000.0,12,ZapFlow com chatGPT
268,zappone@gmail.com,2024-09-10 14:00:00,3000000000000.0,12,ZapFlow com chatGPT
269,zappone@gmail.com,2024-09-10 14:00:00,3000000000000.0,12,ZapFlow com chatGPT
270,zappone@gmail.com,2024-09-10 14:00:00,3000000000000.0,12,ZapFlow com chatGPT
271,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
272,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
273,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
274,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
275,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
276,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
277,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
278,zappone@gmail.com,2024-09-10 14:00:00,3000000000000.0,12,ZapFlow com chatGPT
279,benao76@hotmail.com,2024-09-11 22:00:00,30000.0,100000,ZapFlow com Gemini
280,akamasmm@gmail.com,2024-09-10 11:45:00,5.0,8,ZapFlow com Gemini
281,akamasmm@gmail.com,2024-09-10 11:45:00,5.0,8,ZapFlow com Gemini
282,akamasmm@gmail.com,2024-09-10 11:45:00,5.0,8,ZapFlow com Gemini
283,akamasmm@gmail.com,2024-09-10 11:45:00,5.0,8,ZapFlow com Gemini
284,alima67@hotmail.com,2024-09-11 09:00:00,50000.0,79,ZapFlow com chatGPT
285,akamasmm@gmail.com,2024-09-10 11:45:00,5.0,8,ZapFlow com Gemini
286,Cachorao@gmail.com,2024-09-12 09:00:00,171.0,7,ZapFlow com Gemini
287,VascoDaGama@gmail.com,2024-09-11 10:45:00,500.0,1,ZapFlow com chatGPT
288,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
289,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
290,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
291,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
292,laender.tevenceu@gmail.com,2024-09-10 09:00:00,100000000000.0,10,ZapFlow com Llama3.0
293,dennysmatos@gmail.com,2024-09-08 10:30:00,383836363.74,33,ZapFlow com chatGPT
294,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
295,bestvendedor@gmail.com,2024-09-10 09:15:00,1000000.01,2,ZapFlow com Llama3.0
296,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
297,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
298,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
299,bestvendedor@gmail.com,2024-09-10 09:15:00,1000000.01,2,ZapFlow com Llama3.0
300,bestvendedor@gmail.com,2024-09-10 09:15:00,1000000.01,2,ZapFlow com Llama3.0
301,ficafrio@frio.com,2024-09-11 10:00:00,3000.0,25,ZapFlow com chatGPT
